CourseID,Title,URL,Short Intro,Category,Sub-Category,Course Type,Language,Subtitle Languages,Skills,Instructors,Rating,Number of viewers,Duration,Site,Program Type,Courses,Level,Number of Reviews,Unique Projects,Prequisites,What you learn,Related Programs,Monthly access,6-Month access,4-Month access,3-Month access,5-Month access,2-Month access,School,Topics related to CRM,ExpertTracks,FAQs,Course Title,Course URL,Course Short Intro,Weekly study,Premium course,What's include,Rank,Created by,Program,Number of ratings,Price,COURSE CATEGORIES
1,Machine Learning Specialization,https://res.cloudinary.com/dhxzdpysp/image/upload/v1772575165/courses/course_1_machine_learning_specialization.jpg,"#BreakIntoAI with Machine Learning Specialization. Master fundamental AI concepts and develop practical machine learning skills in the beginner-friendly, 3-course program by AI visionary Andrew Ng",Data Science,Machine Learning,Specialization,English,Subtitles: English,"Decision Trees, Artificial Neural Network, Logistic Regression, Recommender Systems, Linear Regression, Regularization to Avoid Overfitting, Gradient Descent, Supervised Learning, Logistic Regression for Classification, Xgboost, Tensorflow, Tree Ensembles, ","Andrew Ng ,Eddy Shyu ,Aarti Bagul ,Geoff Ladwig ,",4.72,252,Approximately 3 months to complete,Coursera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Introduction to Data Science Specialization,https://res.cloudinary.com/dhxzdpysp/image/upload/v1772575169/courses/course_2_introduction_to_data_science_specialization.jpg,Launch your career in data science. Gain foundational data science skills to prepare for a career or further advanced learning in data science. ,Data Science,Data Analysis,Specialization,English,"Subtitles: English, Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, Turkish, Spanish, Persian","Data Science, Relational Database Management System (RDBMS), Cloud Databases, Python Programming, SQL, Deep Learning, Machine Learning, Big Data, Data Mining, Github, Jupyter notebooks, Rstudio, ","Rav Ahuja ,Alex Aklson ,Aije Egwaikhide ,Svetlana Levitan ,Romeo Kienzler ,Polong Lin ,Hima Vasudevan ,",4.59,261,Approximately 5 months to complete,Coursera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Data Science Fundamentals with Python and SQL Specialization,https://res.cloudinary.com/dhxzdpysp/image/upload/v1772575173/courses/course_3_data_science_fundamentals_with_python_and_sql_spec.jpg,"Build the Foundation for your Data Science career. Develop hands-on experience with Jupyter, Python, SQL. Perform Statistical Analysis on real data sets.",Data Science,Data Analysis,Specialization,English,"Subtitles: English, Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, Spanish, Persian, Korean","Data Science, Github, Python Programming, Jupyter notebooks, Rstudio, Data Analysis, Pandas, Numpy, Probability And Statistics, Regression Analysis, Data Visualization (DataViz), Statistical Hypothesis Testing, ","Aije Egwaikhide ,Svetlana Levitan ,Romeo Kienzler ,Joseph Santarcangelo ,Azim Hirjani ,Murtaza Haider ,Rav Ahuja ,Hima Vasudevan ,",4.42,65,Approximately 7 months to complete,Coursera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Key Technologies for Business Specialization,https://res.cloudinary.com/dhxzdpysp/image/upload/v1772575178/courses/course_4_key_technologies_for_business_specialization.jpg,Get Ahead with Key Business Technologies. Gain Foundational Understanding of Key Technologies Driving Modern Businesses ,Business,Business Essentials,Specialization,English,"Subtitles: English, Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, Spanish, Turkish","Data Science, Artificial Intelligence (AI), Business, Cloud Computing, technology, Cloud Native, Devops, Iaas PaaS Saas, Hybrid Multicloud, Deep Learning, Jobs, Machine Learning, ","Rav Ahuja ,Alex Aklson ,",4.52,25,Approximately 3 months to complete,Coursera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Deep Learning Specialization,https://res.cloudinary.com/dhxzdpysp/image/upload/v1772575183/courses/course_5_deep_learning_specialization.jpg,Become a Machine Learning expert. Master the fundamentals of deep learning and break into AI. Recently updated with cutting-edge techniques!,Data Science,Machine Learning,Specialization,English,"Subtitles: English, Chinese (Traditional), Arabic, French, Ukrainian, Portuguese (European), Chinese (Simplified), Italian, Portuguese (Brazilian), Vietnamese, Korean, German, Russian, Turkish, Spanish, Japanese","Artificial Neural Network, Convolutional Neural Network, Tensorflow, Recurrent Neural Network, Transformers, Deep Learning, Backpropagation, Python Programming, Neural Network Architecture, Mathematical Optimization, hyperparameter tuning, Inductive Transfer, ","Andrew Ng ,Kian Katanforoosh ,Younes Bensouda Mourri ,",4.69,2423,Approximately 5 months to complete,Coursera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,IBM & Darden Digital Strategy Specialization,https://res.cloudinary.com/dhxzdpysp/image/upload/v1772575333/courses/course_6_ibm_darden_digital_strategy_specialization.jpg,Get ahead with key business and technical skills. Understand how current technologies are changing industry and create strategy to transform your business,Data Science,Machine Learning,Specialization,English,"Subtitles: English, Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, Spanish","Data Science, Digital transformation, Artificial Intelligence (AI), Business Strategy, Cloud Computing, Deep Learning, Jobs, Machine Learning, strategy, Swot Analysis, Value Proposition, Competitiveness, ","Rav Ahuja ,Jared Harris ,Michael Lenox ,Rajkumar Venkatesan ,Yael Grushka-Cockayne  ,",4.6,5,Approximately 7 months to complete,Coursera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,IBM AI Foundations for Business Specialization,https://res.cloudinary.com/dhxzdpysp/image/upload/v1772575336/courses/course_7_ibm_ai_foundations_for_business_specialization.jpg,,Data Science,Machine Learning,Specialization,English,"Subtitles: English, Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, Spanish, Turkish","Data Science, Artificial Intelligence (AI), Information Technology (IT) Architecture, Data Architecture, Leadership, Deep Learning, Jobs, Machine Learning, Big Data, Data Mining, Management, Analytics, ","Rav Ahuja ,Alex Aklson ,Mark J Grover ,Ray Lopez, Ph.D. ,",4.67,21,Approximately 2 months to complete,Coursera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Data Analysis and Visualization Foundations Specialization,https://res.cloudinary.com/dhxzdpysp/image/upload/v1772575339/courses/course_8_data_analysis_and_visualization_foundations_specia.jpg,"Get ahead w/ Data Analysis & Visualization skills. Enhance your career by learning to analyze data using Excel spreadsheets, and create stunning visualizations and interactive dashboards with Cognos.",Data Science,Data Analysis,Specialization,English,"Subtitles: English, Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, Spanish","Data Science, Spreadsheet, Microsoft Excel, Data Analysis, Data Visualization (DataViz), Pivot Table, IBM Cognos Analytics, Dashboard, ","Rav Ahuja ,Sandip Saha Joy ,Steve Ryan ,Kevin McFaul ,Skills Network ,",4.73,56,Approximately 4 months to complete,Coursera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Applied Data Science Specialization,https://res.cloudinary.com/dhxzdpysp/image/upload/v1772575344/courses/course_9_applied_data_science_specialization.jpg,"Get hands-on skills for a career in data science. Learn Python, analyze and visualize data. Apply your skills to data science and machine learning. ",Data Science,Machine Learning,Specialization,English,"Subtitles: English, Korean, Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, Turkish, Spanish, Persian","Data Science, Python Programming, Data Analysis, Pandas, Numpy, Jupyter notebooks, Predictive Modelling, Data Visualization (DataViz), Model Selection, Dashboards and Charts, dash, Matplotlib, ","Joseph Santarcangelo ,Azim Hirjani ,Saishruthi Swaminathan ,Yan Luo ,",4.48,174,Approximately 6 months to complete,Coursera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Data Engineering Foundations Specialization,https://res.cloudinary.com/dhxzdpysp/image/upload/v1772575348/courses/course_10_data_engineering_foundations_specialization.jpg,"Build the Foundation for a Data Engineering Career. Develop hands-on experience with Python, SQL, and Relational Databases and master the fundamentals of the Data Engineering ecosystem. ",Information Technology,Data Management,Specialization,English,"Subtitles: English, Korean, Arabic, Persian","Information Engineering, Python Programming, Extraction, Transformation And Loading (ETL), Relational Database Management System (RDBMS), SQL, Data Science, Database (DBMS), NoSQL, Data Analysis, Pandas, Numpy, Jupyter notebooks, ","Rav Ahuja ,Priya Kapoor ,Joseph Santarcangelo ,Ramesh Sannareddy ,Sandip Saha Joy ,Lin Joyner ,Rose Malcolm ,Hima Vasudevan ,",4.65,17,Approximately 5 months to complete,Coursera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
